_id,Job Title,Company Name,Location,Job Type,Workplace Type,Years of Experience,Career Level,Job Category,Skills,Job Link
680d059b9eeca96d883e4511,senior procurement officer,Confidential -,"Shorouk City, Cairo, Egypt",Full Time,On-site,· 5 - 12 Yrs of Exp,Experienced,· Accounting/Finance,"['· Administration', '· Business Administration', '· Communication', '· Logistics', '· Management', '· Microsoft Office', '· Planning']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/x1FqgcfZb3Qw-senior-procurement-officer-Cairo-Egypt
680d059b9eeca96d883e4512,Human Resource Recruiter,TAR Company -,"Mansoura, Dakahlia, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,Experienced,· Administration,"['· Administration', '· Microsoft Office', '· Personnel', '· Recruitment', '· Payroll']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nryxv0gb0lWJ-Human-Resource-Recruiter-TAR-Company-Dakahlia-Egypt
680d059b9eeca96d883e4513,Telesales Representative,TAR Company -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 1 - 2 Yrs of Exp,Experienced,· Business Development,"['· computer', '· Communication', '· CRM Software', '· Customer Service', '· negotiation skills', '· sales skills', '· Telesales']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/v2e4FzV9AkbC-Telesales-Representative-TAR-Company-Cairo-Egypt
680d059b9eeca96d883e4514,Sales Specialistl,SAMSTEM L.L.C -,"Mansoura, Dakahlia, Egypt",Freelance / Project,Remote,· 1 - 10 Yrs of Exp,Senior Management,· IT/Software Development,"['· Sales', '· target-oriented', '· Cold Calling', '· Negotiation', '· deal closing']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/9Uhm2d99WwKD-Sales-Specialistl-SAMSTEM-L-L-C-Dakahlia-Egypt
680d059b9eeca96d883e4515,Social Media Specialist,S G D -,"Mohandessin, Giza, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,Experienced,· Marketing/PR/Advertising,"['· Communication', '· digital media', '· E-Marketing', '· Social Media']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/rA9tUzNFXTse-Social-Media-Specialist-S-G-D-Giza-Egypt
680d059b9eeca96d883e4516,Environmental Engineer/Specialist,Saudi Environment Company -,"Jeddah, Saudi Arabia",Full Time,On-site,· 3 - 10 Yrs of Exp,Experienced,· Quality,"['· Environmental', '· Environmental plans', '· MS Office', '· Quality Assurance', '· Environmental Engineering', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/SDYx0v1r3Hxm-Environmental-EngineerSpecialist-Saudi-Environment-Company-Jeddah-Saudi-Arabia
680d059b9eeca96d883e4517,Tele-Sales Specialist,51 Talk -,"Cairo, Egypt",Full Time,On-site,· 1 - 5 Yrs of Exp,Entry Level,· Customer Service/Support,"['· Communication', '· Communication skills', '· sales skills', '· Sales', '· Sales Target', '· sales targets', '· Telesales', '· Customer Service', '· Customer']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/yOnr4Iczfxsg-Tele-Sales-Specialist-51-Talk-Cairo-Egypt
680d059b9eeca96d883e4518,Civil Technical Office Engineer,Sinoma-cdi -,"New Cairo, Cairo, Egypt",Full Time,On-site,· 3 - 5 Yrs of Exp,Experienced,· Engineering - Construction/Civil/Architecture,"['· Civil', '· AutoCAD', '· Civil Engineering', '· Engineering', '· English', '· Microsoft Office', '· Technical Office', '· Technical Drawings', '· Revit']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/W2DpcCzLtUOw-Civil-Technical-Office-Engineer-Sinoma-cdi-Cairo-Egypt
680d059b9eeca96d883e4519,Site Accountant,Sinoma-cdi -,"Alamein, Matruh, Egypt",Full Time,On-site,· 1 - 3 Yrs of Exp,Entry Level,· Accounting/Finance,"['· Accounting', '· Accounting Software', '· Construction', '· Financial Analysis', '· Finance', '· Microsoft Excel', '· English']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/iu6YCJ1eEBND-Site-Accountant-Sinoma-cdi-Matruh-Egypt
680d059b9eeca96d883e451a,Accountant Supervisor - Fayoum site,Logistica -,"Fayoum, Fayoum, Egypt",Full Time,On-site,· 5 - 7 Yrs of Exp,Experienced,· Accounting/Finance,"['· Accounting', '· Commerce', '· Financial Analysis', '· Treasury', '· AR']",https://wuzzuf.nethttps://wuzzuf.net/jobs/p/nYArUAsuOnRG-Accountant-Supervisor---Fayoum-site-Logistica-Fayoum-Egypt
